;;11 Uhr;0;24;2;2;11;35;9;7;3
;;13 Uhr;0;19;0;0;3;29;4;2;1
;;15 Uhr;0;16;1;1;4;36;4;2;1
;;17 Uhr;0;11;0;0;3;32;2;3;2
;;19 Uhr;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;
Mittwoch,;10.08.2016;9 Uhr;0;19;0;4;10;26;5;6;2
;;11 Uhr;0;24;0;3;13;40;8;6;2
;;13 Uhr;0;13;0;1;10;36;2;6;3
;;15 Uhr;0;19;2;2;14;47;6;10;4
;;17 Uhr;0;6;1;0;9;23;1;8;4
;;19 Uhr;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;
Donnerstag,;11.08.2016;9 Uhr;0;18;0;6;11;30;5;4;2
;;11 Uhr;0;25;0;4;18;42;4;5;2
;;13 Uhr;0;30;0;5;15;45;3;2;1
;;15 Uhr;0;31;0;4;15;48;4;5;3
;;17 Uhr;0;16;0;0;11;34;4;4;2
;;19 Uhr;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;
Freitag,;12.08.2016;9 Uhr;0;8;0;1;4;23;4;2;1
;;11 Uhr;0;10;0;1;8;41;4;4;2
;;13 Uhr;2;14;0;1;6;48;4;4;2
