;;11 Uhr;;32;1;7;2
;;13 Uhr;;33;2;7;2
;;15 Uhr;;45;1;7;2
;;17 Uhr;;16;0;0;0
;;19 Uhr;;;;;
;;;;;;;
Dienstag,;24.7.18;9 Uhr;;24;0;6;2
;;11 Uhr;;40;1;6;2
;;13 Uhr;;38;0;6;2
;;15 Uhr;;37;0;6;2
;;17 Uhr;;19;0;0;0
;;19 Uhr;;;;;
;;;;;;;
Mittwoch,;25.7.18;9 Uhr;;24;0;2;1
;;11 Uhr;;29;0;2;1
;;13 Uhr;;27;1;2;1
;;15 Uhr;;33;2;2;1
;;17 Uhr;;18;0;0;0
;;19 Uhr;;;;;
;;;;;;;
Donnerstag,;26.7.18;9 Uhr;;20;1;6;2
;;11 Uhr;;33;0;6;2
;;13 Uhr;;31;0;6;2
;;15 Uhr;;27;0;4;1
;;17 Uhr;;12;1;4;2
;;19 Uhr;;;;;
;;;;;;;
Freitag,;27.7.18;9 Uhr;;18;1;7;2
;;11 Uhr;;29;0;7;2
;;13 Uhr;;25;0;7;2
