;;17 Uhr;0;77;;
;;19 Uhr;0;38;;
;;;;;;
Mittwoch,;30.5.18;9 Uhr;0;48;;
;;11 Uhr;0;104;;
;;13 Uhr;0;112;;
;;15 Uhr;0;117;;
;;17 Uhr;0;89;;
;;19 Uhr;0;25;;
;;;;;;
Donnerstag,;31.5.18;9 Uhr;0;65;;
;;11 Uhr;1;96;;
;;13 Uhr;0;90;;
;;15 Uhr;2;95;;
;;17 Uhr;1;76;;
;;19 Uhr;0;20;;
;;;;;;
Freitag,;1.6.18;9 Uhr;0;42;;
;;11 Uhr;0;104;;
;;13 Uhr;1;111;;
;;15 Uhr;1;115;;
;;17 Uhr;0;94;;
;;19 Uhr;1;35;;
;;;;;;
Samstag,;2.6.18;9 Uhr;0;58;;
;;11 Uhr;0;98;;
;;13 Uhr;0;45;;
;;15 Uhr;1;104;;
;;17 Uhr;0;52;;
;;19 Uhr;;;;
;;;;;;
Montag,;4.6.18;9 Uhr;1;106;;
;;11 Uhr;4;179;;
;;13 Uhr;3;157;;
;;15 Uhr;1;175;;
;;17 Uhr;1;129;;
;;19 Uhr;0;44;;
;;;;;;
Dienstag,;5.6.18;9 Uhr;0;123;;
;;11 Uhr;1;174;;
;;13 Uhr;2;151;;
;;15 Uhr;0;157;;
;;17 Uhr;1;112;;
;;19 Uhr;0;36;;
;;;;;;
Mittwoch,;6.6.18;9 Uhr;0;147;;
;;11 Uhr;2;185;;
;;13 Uhr;1;173;;
;;15 Uhr;0;160;;
;;17 Uhr;0;129;;
;;19 Uhr;0;32;;
;;;;;;
Donnerstag,;7.6.18;9 Uhr;1;143;;
;;11 Uhr;1;158;;
;;13 Uhr;1;152;;
;;15 Uhr;2;140;;
;;17 Uhr;0;109;;
;;19 Uhr;0;41;;
;;;;;;
Freitag,;8.6.18;9 Uhr;0;117;;
;;11 Uhr;3;162;;
;;13 Uhr;2;153;;
;;15 Uhr;3;163;;
;;17 Uhr;0;112;;
;;19 Uhr;0;42;;
;;;;;;
Samstag,;9.6.18;9 Uhr;1;75;;
;;11 Uhr;0;107;;
;;13 Uhr;0;104;;
;;15 Uhr;1;108;;
;;17 Uhr;0;57;;
;;19 Uhr;;;;
;;;;;;
Montag,;11.6.18;9 Uhr;1;8;;
;;11 Uhr;1;112;;
;;13 Uhr;1;118;;
;;15 Uhr;2;145;;
;;17 Uhr;0;90;;
;;19 Uhr;0;31;;
;;;;;;
Dienstag,;12.6.18;9 Uhr;2;91;;
;;11 Uhr;0;141;;
;;13 Uhr;1;127;;
;;15 Uhr;2;137;;
;;17 Uhr;2;98;;
;;19 Uhr;0;29;;
;;;;;;
Mittwoch,;13.6.18;9 Uhr;0;74;;
;;11 Uhr;2;134;;
;;13 Uhr;0;154;;
;;15 Uhr;1;152;;
;;17 Uhr;1;103;;
;;19 Uhr;1;30;;
;;;;;;
Donnerstag,;14.6.18;9 Uhr;1;83;;
;;11 Uhr;0;119;;
;;13 Uhr;0;131;;
;;15 Uhr;1;135;;
;;17 Uhr;0;86;;
;;19 Uhr;0;34;;
;;;;;;
Freitag,;15.6.18;9 Uhr;0;64;;
;;11 Uhr;1;109;;
;;13 Uhr;0;112;;
;;15 Uhr;0;120;;
;;17 Uhr;0;85;;
;;19 Uhr;0;34;;
;;;;;;
Samstag,;16.6.18;9 Uhr;0;45;;
;;11 Uhr;1;74;;
;;13 Uhr;0;63;;
;;15 Uhr;0;65;;
;;17 Uhr;1;51;;
;;19 Uhr;;;;
;;;;;;
Montag,;18.6.18;9 Uhr;0;61;;
;;11 Uhr;0;96;;
;;13 Uhr;0;106;;
;;15 Uhr;1;110;;
;;17 Uhr;2;82;;
;;19 Uhr;0;35;;
;;;;;;
Dienstag,;19.6.18;9 Uhr;0;52;;
;;11 Uhr;0;78;;
;;13 Uhr;0;79;;
;;15 Uhr;0;90;;
;;17 Uhr;2;76;;
;;19 Uhr;0;23;;
